Explicit,Artist_Popularity,Performer,Song,Duration s,uri,url,WeekID,Week Position,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,Year
False,46.0,Simple Minds,Sanctify Yourself,297.906,spotify:track:5YIh3K9eF6ymtagIIpprOU,http://www.billboard.com/charts/hot-100/1986-01-25,1986-01-25,64,Sanctify YourselfSimple Minds,1,,64,1,1986
False,56.0,Force M.D.'s,Tender Love,234.053,spotify:track:6D527hFJzl1vWSzosEbyQk,http://www.billboard.com/charts/hot-100/1986-02-01,1986-02-01,84,Tender LoveForce M.D.'s,1,,84,1,1986
False,49.0,Electric Light Orchestra,Calling America,210.533,spotify:track:72eXfQYeBW1KsZEZ4fMnxP,http://www.billboard.com/charts/hot-100/1986-02-01,1986-02-01,91,Calling AmericaElectric Light Orchestra,1,,91,1,1986
False,12.0,Peter Frampton,Lying,253.133,spotify:track:5kHVs02HH3lLmkM1TuXow2,http://www.billboard.com/charts/hot-100/1986-02-01,1986-02-01,97,LyingPeter Frampton,1,,97,1,1986
False,66.0,Falco,Rock Me Amadeus,202.236,spotify:track:0DfG1ltJnZyq4Tx3ZLL7ZU,http://www.billboard.com/charts/hot-100/1986-02-08,1986-02-08,79,Rock Me AmadeusFalco,1,,79,1,1986
False,67.0,Robert Palmer,Addicted To Love,363.64,spotify:track:5izGeTxueiFX1UPFGohY9w,http://www.billboard.com/charts/hot-100/1986-02-08,1986-02-08,83,Addicted To LoveRobert Palmer,1,,83,1,1986
False,38.0,Maurice White,I Need You,274.773,spotify:track:2z0bWcFtSYWgszc1Dbj7o0,http://www.billboard.com/charts/hot-100/1986-02-08,1986-02-08,95,I Need YouMaurice White,1,,95,1,1986
False,31.0,Phyllis Nelson,I Like You,316.026,spotify:track:4mqAag0mULGpUKHqd9WdEV,http://www.billboard.com/charts/hot-100/1986-02-08,1986-02-08,84,I Like YouPhyllis Nelson,1,,84,1,1986
False,34.0,Klymaxx,The Men All Pause,435.333,spotify:track:78VE3KQ85A5ejWZAKOVjNp,http://www.billboard.com/charts/hot-100/1986-02-15,1986-02-15,98,The Men All PauseKlymaxx,1,,98,1,1986
False,77.0,The Outfield,Your Love,216.466,spotify:track:4oDZ5L8izBals6jKBJDBcX,http://www.billboard.com/charts/hot-100/1986-02-15,1986-02-15,94,Your LoveThe Outfield,1,,94,1,1986
False,30.0,The Alan Parsons Project,Stereotomy,437.32,spotify:track:5y1e75jvW8mr2K0l72Ktb2,http://www.billboard.com/charts/hot-100/1986-02-15,1986-02-15,88,StereotomyThe Alan Parsons Project,1,,88,1,1986
False,48.0,Janet Jackson,What Have You Done For Me Lately,299.493,spotify:track:2SFq0UIiBWkBgky0fkrHP0,http://www.billboard.com/charts/hot-100/1986-02-22,1986-02-22,95,What Have You Done For Me LatelyJanet Jackson,1,,95,1,1986
False,45.0,Stevie Nicks,I Can't Wait,275.84,spotify:track:4MI0gAD5TlqYXVyV6JePrT,http://www.billboard.com/charts/hot-100/1986-02-22,1986-02-22,60,I Can't WaitStevie Nicks,1,,60,1,1986
