0,1,2,3,4
Oscar Black,4.0,Oscar Black,spotify:artist:1ld0kMdsimb8l5cQDNuSSg,[]
Dick Dale and The Del-Tones,45.0,Dick Dale & His Del-Tones,spotify:artist:7J77vP6EbI63lB3snZeRj4,['surf music']
,,,,
Steve Allen,35.0,Steve Allen,spotify:artist:5oM9MmVWGFrIcVyojUVwcJ,['uplifting trance']
T.K. Hulin,8.0,T.K. Hulin,spotify:artist:7kitEiRYbimAJPWDRZ2J0C,['swamp pop']
The Smothers Brothers,13.0,The Smothers Brothers,spotify:artist:5ugjlc51azqrMoBLLbOnIg,[]
,,,,
James Phelps,3.0,James Phelps,spotify:artist:3MJ1dGVIWaBiSTZmbMY6ao,[]
Jimmy Velvet,6.0,Jimmy Velvet,spotify:artist:67WqvGaFBKDUjucrKjAaFA,[]
Bonnie & The Treasures,0.0,Bonnie and the Treasures,spotify:artist:45ThJBQQM8YfsjPMgYXABQ,['song poem']
The Poppies,3.0,The California Poppies,spotify:artist:1ueMk5cWcCzMwXNqM1LgYL,[]
Susan Christie,26.0,Susan Christie,spotify:artist:2HrnWNplSXSbwjlRdcDQkB,['psychedelic folk']
The Traits,33.0,Roy Head And The Traits,spotify:artist:30rTY7YT6tAoAUoGJXQBqQ,[]
The Peanut Butter Conspiracy,29.0,The Peanut Butter Conspiracy,spotify:artist:1mUgTcokhM7BSqp8mXhy8U,"['classic garage rock', 'freakbeat', 'psychedelic rock']"
The Merry-Go-Round,12.0,The Merry-Go-Round,spotify:artist:5OqRrwoMQ2KO578vDoupAs,"['classic garage rock', 'freakbeat']"
Linda Jones,35.0,Linda Jones,spotify:artist:7erYZsfekXYGWvup1bnkUZ,"['classic soul', 'northern soul', 'souldies', 'southern soul']"
Four Jacks And A Jill,22.0,Four Jacks And a Jill,spotify:artist:2iARYzqM7A0FMEgRI0RV90,['south african country']
The Buena Vistas,0.0,The Buena Vistas,spotify:artist:0NZla8oecHR7sQ4rb6lW81,[]
,,,,
Eternity's Children,22.0,Eternity's Children,spotify:artist:55WCM9xjaVzZYf6o4lUrwH,"['bubblegum pop', 'sunshine pop']"
Crazy Elephant,31.0,Crazy Elephant,spotify:artist:7bp2mrTNmrjp69DS3EKL4K,['bubblegum pop']
