	Performer	Artist_Popularity_x	Performer2	uri_x	Genre	Explicit	Artist_Popularity_y	Song	Duration s	uri_y	url	WeekID	Week Position	SongID	Instance	Previous Week Position	Peak Position	Weeks on Chart	Year
8256	Rachel Platten	64.0	Rachel Platten	spotify:artist:3QLIkT4rD2FMusaqmkepbq	dance pop	False	78.0	Fight Song	204.013	spotify:track:37f4ITSlgPX81ad2EvmVQr	http://www.billboard.com/charts/hot-100/2015-05-02	2015-05-02	80	Fight SongRachel Platten	1		80	1	2015
8257	G-Eazy	76.0	G-Eazy	spotify:artist:02kJSzxNuaWGqwubyUba0Z	indie pop rap	True	56.0	Random	180.333	spotify:track:422lAAWQO9TqL1LxIPdhOn	http://www.billboard.com/charts/hot-100/2015-12-26	2015-12-26	94	RandomG-Eazy	1		94	1	2015
8259	Ben Rector	63.0	Ben Rector	spotify:artist:4AapPt7H6bGH4i7chTulpI	acoustic pop	False	62.0	Brand New	243.933	spotify:track:07m8PuXxxv5J4qPEDq6ZkK	http://www.billboard.com/charts/hot-100/2016-07-23	2016-07-23	94	Brand NewBen Rector	1		94	1	2016
8260	Jacquees	71.0	Jacquees	spotify:artist:4tMm1dU6Gn04VAZ9ClHcIZ	atl hip hop	True	72.0	B.E.D.	236.146	spotify:track:1B6TmCvKjC4dopBohVW51x	http://www.billboard.com/charts/hot-100/2017-08-26	2017-08-26	94	B.E.D.Jacquees	1		94	1	2017
8262	Dean Lewis	80.0	Dean Lewis	spotify:artist:3QSQFmccmX81fWCUSPTS7y	australian pop	True	80.0	Be Alright	196.373	spotify:track:3EPXxR3ImUwfayaurPi3cm	https://www.billboard.com/charts/hot-100/2018-11-10	2018-11-10	94	Be AlrightDean Lewis	1		94	1	2018
8263	Lil Tjay	81.0	Lil Tjay	spotify:artist:6jGMq4yGs7aQzuGsMgVgZR	brooklyn drill	True	79.0	F.N	224.0	spotify:track:0RLLvYBopDwooCyvnTwgYu	https://www.billboard.com/charts/hot-100/2019-08-24	2019-08-24	92	F.NLil Tjay	1		92	1	2019
8265	The Champs	49.0	The Champs	spotify:artist:3yt4IVDHz0luREG9Uf9xrp	rock-and-roll	False	21.0	Chariot Rock	136.746	spotify:track:5uNmHqNUVHkhqqvXZdQWaL	http://www.billboard.com/charts/hot-100/1958-08-09	1958-08-09	95	Chariot RockThe Champs	1		95	1	1958
8271	The Bell Notes	7.0	The Bell Notes	spotify:artist:5aeWPt5NxjEZXy5DIXRyxm		False	0.0	Old Spanish Town	140.333	spotify:track:1GNMCMwvE7NygRTZJAPMVb	http://www.billboard.com/charts/hot-100/1959-05-02	1959-05-02	95	Old Spanish TownThe Bell Notes	1		95	1	1959
8272	The Bobbettes	26.0	The Bobbettes	spotify:artist:5TesVKMq16peTfJC46PbYw	classic girl group	False	7.0	I Shot Mr. Lee	154.773	spotify:track:253qAom54xbJSNlq9pGzAC	http://www.billboard.com/charts/hot-100/1960-07-02	1960-07-02	95	I Shot Mr. LeeThe Bobbettes	1		95	1	1960
8274	Claudine Clark	18.0	Claudine Clark	spotify:artist:4I0kvGngwrJFy1ngs6fzqZ		False	32.0	Party Lights	143.133	spotify:track:0Kb1OykZK7OYNqQ58KZ0rj	http://www.billboard.com/charts/hot-100/1962-06-30	1962-06-30	95	Party LightsClaudine Clark	1		95	1	1962
8275	The Trashmen	46.0	The Trashmen	spotify:artist:5QEA3sofVt5QckQA6QX2nN	classic garage rock	False	59.0	Surfin' Bird	137.133	spotify:track:7EjyzZcbLxW7PaaLua9Ksb	http://www.billboard.com/charts/hot-100/1963-12-07	1963-12-07	97	Surfin' BirdThe Trashmen	1		97	1	1963
8277	Barbara Lynn	44.0	Barbara Lynn	spotify:artist:2wQyX5625x6IGls8zLLHMB	classic soul	False	21.0	Second Fiddle Girl	117.173	spotify:track:3iVr0ys1UuBPkV9whnC2ER	http://www.billboard.com/charts/hot-100/1962-09-22	1962-09-22	97	Second Fiddle GirlBarbara Lynn	1		97	1	1962
8279	Bruce & Terry	5.0	Bruce & Terry	spotify:artist:587ktvH0lJ7YdX6hgP1RNm		False	3.0	Custom Machine	97.573	spotify:track:7E9VSMXD5RuAqLHIA6TQuT	http://www.billboard.com/charts/hot-100/1964-02-22	1964-02-22	96	Custom MachineBruce & Terry	1		96	1	1964
8281	Dobie Gray	52.0	Dobie Gray	spotify:artist:3mC1KCuZZSOlN8Z0M56VsV	northern soul	False	25.0	"The ""In"" Crowd"	175.84	spotify:track:2QzofTlj6CqXjpK0lgP2CW	http://www.billboard.com/charts/hot-100/1965-01-09	1965-01-09	79	"The ""In"" CrowdDobie Gray"	1		79	1	1965
8286	Crispian St. Peters	33.0	Crispian St. Peters	spotify:artist:3Y9xnCbmXGhmpJymwpnxCz	british invasion	False	40.0	The Pied Piper	151.666	spotify:track:7ufnFt3fA9Ut2K0DILUZ34	http://www.billboard.com/charts/hot-100/1966-06-11	1966-06-11	98	The Pied PiperCrispian St. Peters	1		98	1	1966
